gene_id,pfam_accessions
gene-LOC142982946,PF00651.38
gene-LOC142982947,PF05375.20
gene-LOC142982948,PF00478.32
gene-LOC142982962,PF00595.30;PF13180.13;PF14685.15;PF17816.9;PF17820.8;PF19805.6
gene-LOC142982964,PF01048.27
gene-LOC142982965,PF05217.17
gene-LOC142982966,PF00076.29;PF13893.13;PF22976.3
gene-LOC142982967,PF07690.22
gene-LOC142982969,PF02949.26;PF08395.18
gene-LOC142982971,PF00089.33;PF03761.22;PF09342.17;PF13365.13
gene-LOC142982972,PF00041.28;PF00047.32;PF00078.33;PF07679.23;PF07686.24;PF08204.18;PF08205.19;PF13895.13;PF13927.13;PF16656.12;PF22705.3;PF22854.3;PF22971.3;PF25059.2;PF25523.2;PF28033.1
gene-LOC142982973,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13;PF22854.3
gene-LOC142982975,PF00089.33
gene-LOC142982982,PF00201.25;PF00665.33;PF04101.23;PF06722.19;PF13439.13;PF17917.8;PF17919.8;PF17921.8
gene-LOC142982983,PF00201.25;PF06722.19;PF13439.13
gene-LOC142982984,PF00201.25;PF06722.19
gene-LOC142982985,PF00201.25;PF04101.23;PF06722.19;PF13439.13;PF13579.13
gene-LOC142982987,PF00487.31
gene-LOC142982988,PF00078.33
gene-LOC142982989,PF00249.38;PF09316.16;PF13921.13;PF15963.12
gene-LOC142982991,PF14214.12
gene-LOC142982993,PF16563.11
gene-LOC142982994,PF01027.27
gene-LOC142982996,PF02949.26
gene-LOC142982997,PF02949.26;PF08395.18
gene-LOC142982998,PF02949.26
gene-LOC142982999,PF02949.26
gene-LOC142983001,PF00079.26
gene-LOC142983002,PF00079.26
gene-LOC142983003,PF00155.28;PF12897.14
gene-LOC142983004,PF00561.27;PF06441.19;PF12697.14
gene-LOC142983005,PF00561.27;PF06441.19
gene-LOC142983006,PF00561.27;PF06441.19
gene-LOC142983007,PF00561.27;PF06441.19
gene-LOC142983011,PF00089.33
gene-LOC142983012,PF03148.20
gene-LOC142983013,PF03148.20
gene-LOC142983014,PF05175.21;PF06325.20;PF10294.16
gene-LOC142983020,PF00089.33;PF12032.14
gene-LOC142983021,PF00089.33;PF12032.14
gene-LOC142983022,PF00089.33
gene-LOC142983026,PF11977.15
gene-LOC142983029,PF00646.39
gene-LOC142983030,PF00062.26;PF00560.40;PF12799.14;PF13306.13;PF13516.13;PF13855.13;PF14580.13;PF23952.2
gene-LOC142983032,PF00201.25;PF06722.19
gene-LOC142983033,PF00201.25;PF06722.19
gene-LOC142983034,PF00201.25;PF06722.19
gene-LOC142983040,PF00041.28;PF00754.32;PF01055.33;PF13802.13;PF17137.10;PF21365.4
gene-LOC142983041,PF01980.23
gene-LOC142983043,PF00650.26;PF13716.12;PF28528.1
gene-LOC142983044,PF00041.28
gene-LOC142983046,PF10033.15
gene-LOC142983047,PF02014.24;PF03351.23
gene-LOC142983051,PF00249.38;PF09316.16;PF13921.13;PF15963.12
gene-LOC142983053,PF03148.20
gene-LOC142983054,PF00514.30;PF24768.2;PF27652.1
gene-LOC142983055,PF00732.26;PF05199.20
gene-LOC142983056,PF00732.26;PF05199.20
gene-LOC142983057,PF16062.11
gene-LOC142983058,PF00089.33
gene-LOC142983063,PF00231.25
gene-LOC142983067,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13
gene-LOC142983069,PF01522.27
gene-LOC142983070,PF00400.39;PF11816.14;PF12894.14;PF20426.5;PF21031.3;PF23098.2;PF23215.1;PF23342.2;PF23381.2;PF23393.3;PF23409.2;PF23414.2;PF23609.2;PF23760.2;PF23775.2;PF23798.2;PF23869.2;PF24017.3;PF24105.2;PF24780.2;PF24782.3;PF24796.2;PF24805.2;PF24807.2;PF24814.2;PF24817.2;PF25047.1;PF25048.2;PF25168.2;PF25171.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25178.1;PF25391.2;PF25460.2
gene-LOC142983071,PF03768.22;PF03769.22
gene-LOC142983074,PF00201.25;PF06722.19
gene-LOC142983075,PF00201.25;PF06722.19
gene-LOC142983077,PF00071.29;PF08477.20
gene-LOC142983082,PF01205.26;PF05773.28
gene-LOC142983084,PF03769.22
gene-LOC142983085,PF03768.22;PF03769.22
gene-LOC142983086,PF16499.12
gene-LOC142983087,PF00335.27
gene-LOC142983088,PF13895.13;PF13927.13
gene-LOC142983091,PF03768.22;PF03769.22
gene-LOC142983092,PF04818.20
gene-LOC142983096,PF00041.28;PF00047.32;PF07679.23;PF07686.24;PF08204.18;PF08205.19;PF13895.13;PF13927.13;PF16656.12;PF16681.12;PF17736.8;PF22705.3;PF22854.3;PF22971.3;PF25059.2;PF25523.2;PF28033.1
gene-LOC142983097,PF03768.22;PF03769.22
gene-LOC142983098,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983100,PF00394.29;PF07731.21;PF07732.22
gene-LOC142983104,PF00135.35;PF07859.20;PF20434.6
gene-LOC142983105,PF00135.35;PF20434.6
gene-LOC142983106,PF00046.36;PF03826.23
gene-LOC142983107,PF07962.18
gene-LOC142983109,PF00010.32
gene-LOC142983111,PF03768.22;PF03769.22
gene-LOC142983112,PF01510.31
gene-LOC142983113,PF02931.29;PF12248.17
gene-LOC142983114,PF03768.22;PF03769.22
gene-LOC142983117,PF01757.29;PF20146.5
gene-LOC142983121,PF01636.30
gene-LOC142983124,PF05721.20
gene-LOC142983125,PF01546.34;PF04389.23;PF22248.2
gene-LOC142983126,PF00089.33
gene-LOC142983127,PF00732.26;PF05199.20
gene-LOC142983128,PF00732.26;PF05199.20
gene-LOC142983130,PF03768.22;PF03769.22
gene-LOC142983131,PF00069.32;PF00787.30;PF04212.25;PF07714.24
gene-LOC142983133,PF01585.29
gene-LOC142983134,PF01757.29
gene-LOC142983135,PF00062.26
gene-LOC142983139,PF00079.26
gene-LOC142983140,PF00732.26;PF05199.20
gene-LOC142983142,PF00732.26;PF05199.20
gene-LOC142983143,PF00104.36;PF00105.25
gene-LOC142983144,PF01771.24;PF09588.17
gene-LOC142983145,PF12906.14
gene-LOC142983147,PF05375.20
gene-LOC142983148,PF12171.15;PF12756.14
gene-LOC142983149,PF08246.18
gene-LOC142983150,PF08246.18
gene-LOC142983152,PF00089.33;PF03761.22
gene-LOC142983153,PF00561.27;PF06441.19
gene-LOC142983154,PF00046.36
gene-LOC142983155,PF00135.35;PF20434.6
gene-LOC142983156,PF01636.30;PF02958.27;PF07914.18
gene-LOC142983158,PF00561.27;PF06441.19
gene-LOC142983159,PF02949.26;PF08395.18
gene-LOC142983160,PF00089.33
gene-LOC142983161,PF00110.25
gene-LOC142983163,PF00083.31;PF07690.22
gene-LOC142983164,PF01522.27
gene-LOC142983166,PF00135.35;PF07859.20;PF20434.6
gene-LOC142983167,PF00054.31;PF02210.32
gene-LOC142983168,PF00089.33
gene-LOC142983171,PF01636.30;PF02958.27;PF07914.18
gene-LOC142983172,PF00089.33
gene-LOC142983173,PF00041.28;PF00047.32;PF07679.23;PF07686.24;PF08204.18;PF08205.19;PF13895.13;PF13927.13;PF16656.12;PF16681.12;PF17736.8;PF22854.3;PF22971.3;PF25059.2;PF25523.2;PF28033.1
gene-LOC142983174,PF03768.22;PF03769.22
gene-LOC142983175,PF00135.35;PF20434.6
gene-LOC142983179,PF00201.25;PF06722.19
gene-LOC142983180,PF10174.15;PF24161.2
gene-LOC142983181,PF01390.27
gene-LOC142983182,PF13873.13
gene-LOC142983184,PF00561.27;PF06441.19;PF12697.14
gene-LOC142983185,PF16040.11;PF16041.11
gene-LOC142983186,PF19018.6
gene-LOC142983187,PF12799.14;PF13855.13;PF13920.13;PF23598.2
gene-LOC142983189,PF01423.29
gene-LOC142983191,PF00656.28
gene-LOC142983194,PF00561.27;PF06441.19;PF12697.14
gene-LOC142983196,PF10793.14
gene-LOC142983197,PF01630.26
gene-LOC142983198,PF01400.32
gene-LOC142983199,PF03769.22
gene-LOC142983201,PF01522.27
gene-LOC142983205,PF05721.20
gene-LOC142983208,PF00270.36;PF00271.38
gene-LOC142983210,PF15868.11
gene-LOC142983211,PF00089.33;PF12032.14
gene-LOC142983213,PF15868.11
gene-LOC142983215,PF00561.27;PF06441.19
gene-LOC142983217,PF00046.36
gene-LOC142983218,PF11069.14
gene-LOC142983219,PF00732.26;PF05199.20
gene-LOC142983220,PF00009.34;PF03143.24;PF03144.32
gene-LOC142983221,PF00704.35;PF01607.30
gene-LOC142983222,PF00201.25;PF06722.19
gene-LOC142983223,PF00400.39;PF23381.2;PF23414.2;PF24817.2;PF25173.2;PF25175.2
gene-LOC142983226,PF20179.4
gene-LOC142983227,PF14529.13
gene-LOC142983228,PF00079.26
gene-LOC142983229,PF09631.17
gene-LOC142983233,PF00561.27;PF06441.19
gene-LOC142983234,PF01007.27;PF17655.8
gene-LOC142983235,PF03769.22
gene-LOC142983236,PF03769.22
gene-LOC142983237,PF03769.22
gene-LOC142983238,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13
gene-LOC142983239,PF01007.27;PF17655.8
gene-LOC142983240,PF00083.31;PF07690.22
gene-LOC142983241,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13
gene-LOC142983249,PF00561.27;PF06441.19;PF12697.14
gene-LOC142983250,PF07004.18
gene-LOC142983252,PF01762.28
gene-LOC142983253,PF00083.31;PF07690.22
gene-LOC142983254,PF15868.11
gene-LOC142983258,PF01734.28
gene-LOC142983263,PF01585.29;PF12656.13;PF17780.7
gene-LOC142983264,PF00576.28
gene-LOC142983267,PF00324.28;PF13520.13
gene-LOC142983268,PF10545.16;PF13837.13;PF13873.13
gene-LOC142983269,PF10545.16;PF13837.13;PF13873.13
gene-LOC142983271,PF00050.27;PF07648.21
gene-LOC142983272,PF15189.12
gene-LOC142983273,PF00110.25
gene-LOC142983276,PF00050.27;PF07648.21
gene-LOC142983327,PF00069.32;PF03607.24;PF07714.24
gene-LOC142983375,PF00675.26;PF05193.27
gene-LOC142983382,PF00023.37;PF12796.14;PF13606.13;PF13637.13;PF13857.13
gene-LOC142983383,PF17900.7
gene-LOC142983385,PF00083.31;PF07690.22
gene-LOC142983386,PF00083.31;PF07690.22
gene-LOC142983389,PF27108.1
gene-LOC142983390,PF00080.26;PF20520.4
gene-LOC142983391,PF25298.2
gene-LOC142983392,PF03564.22
gene-LOC142983393,PF14529.13
gene-LOC142983394,PF09731.15
gene-LOC142983395,PF00067.28
gene-LOC142983397,PF00067.28
gene-LOC142983399,PF00067.28
gene-LOC142983400,PF00067.28
gene-LOC142983401,PF00067.28
gene-LOC142983402,PF00059.28
gene-LOC142983403,PF07782.19;PF26037.1;PF26039.2
gene-LOC142983407,PF00067.28
gene-LOC142983408,PF00067.28
gene-LOC142983411,PF02709.21;PF13733.13
gene-LOC142983419,PF04117.18
gene-LOC142983420,PF00498.32;PF16697.11
gene-LOC142983421,PF10154.15
gene-LOC142983424,PF00083.31;PF07690.22
gene-LOC142983425,PF00083.31;PF07690.22
gene-LOC142983426,PF00083.31;PF03092.23;PF07690.22
gene-LOC142983427,PF00083.31;PF07690.22
gene-LOC142983428,PF00083.31;PF07690.22
gene-LOC142983431,PF03073.21
gene-LOC142983432,PF00067.28
gene-LOC142983433,PF00520.38;PF07885.23
gene-LOC142983435,PF00233.26;PF01590.33;PF13185.13
gene-LOC142983437,PF00017.31
gene-LOC142983439,PF05161.19;PF13660.12
gene-LOC142983442,PF00855.24;PF00856.34;PF17907.8;PF22908.3;PF23004.3
gene-LOC142983444,PF01363.28
gene-LOC142983445,PF00089.33
gene-LOC142983446,PF25273.1
gene-LOC142983447,PF07898.19
gene-LOC142983448,PF09731.15
gene-LOC142983450,PF01433.27;PF11838.15;PF17900.7
gene-LOC142983452,PF13085.12;PF13183.12;PF13237.12;PF13534.12
gene-LOC142983453,PF10545.16;PF13837.13;PF13873.13
gene-LOC142983454,PF03066.23;PF17800.8
gene-LOC142983457,PF00025.28;PF00071.29;PF00503.27;PF01926.30;PF04670.19;PF08477.20;PF09439.17
gene-LOC142983461,PF14214.12;PF23343.3
gene-LOC142983464,PF00083.31;PF07690.22
gene-LOC142983467,PF00096.33;PF07776.22;PF13465.13;PF13894.13;PF23561.2
gene-LOC142983470,PF01758.22;PF13593.12
gene-LOC142983471,PF00883.27
gene-LOC142983474,PF05205.18
gene-LOC142983477,PF01168.27
gene-LOC142983479,PF00076.29;PF16367.12
gene-LOC142983482,PF09398.17
gene-LOC142983483,PF00560.40;PF12799.14;PF13855.13;PF23598.2
gene-LOC142983484,PF00272.25
gene-LOC142983485,PF00272.25
gene-LOC142983486,PF00272.25
gene-LOC142983488,PF00096.33;PF07776.22;PF13465.13;PF13894.13;PF13912.13
gene-LOC142983494,PF00001.27
gene-LOC142983499,PF12906.14
gene-LOC142983500,PF12756.14
gene-LOC142983501,PF00067.28
gene-LOC142983502,PF00067.28
gene-LOC142983503,PF00083.31;PF07690.22
gene-LOC142983506,PF03259.24;PF16672.12
gene-LOC142983507,PF00059.28
gene-LOC142983508,PF02949.26;PF08395.18
gene-LOC142983509,PF02798.27;PF13409.13;PF13417.13
gene-LOC142983510,PF00089.33
gene-LOC142983511,PF04988.18;PF12756.14
gene-LOC142983514,PF00728.29
gene-LOC142983515,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983516,PF00560.40;PF12799.14;PF13306.13;PF13516.13;PF13855.13;PF14580.13
gene-LOC142983518,PF00059.28
gene-LOC142983519,PF00059.28
gene-LOC142983520,PF00200.29;PF01421.26;PF01562.25;PF08516.18;PF13574.13;PF13582.13;PF13583.12;PF13688.13
gene-LOC142983522,PF01553.27
gene-LOC142983524,PF01433.27;PF11838.15;PF17900.7
gene-LOC142983525,PF03105.25;PF03124.21
gene-LOC142983526,PF00001.27;PF10320.16
gene-LOC142983531,PF00232.25
gene-LOC142983539,PF00089.33
gene-LOC142983546,PF10256.15
gene-LOC142983547,PF00096.33;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF13909.13;PF13912.13;PF22995.3;PF23108.2;PF23561.2
gene-LOC142983548,PF00089.33
gene-LOC142983552,PF00335.27
gene-LOC142983554,PF00001.27;PF10320.16
gene-LOC142983555,PF00339.35;PF02752.28
gene-LOC142983557,PF00439.31;PF17035.11;PF17105.11
gene-LOC142983558,PF03388.21;PF18483.9
gene-LOC142983562,PF21773.3
gene-LOC142983566,PF08652.18;PF23723.2;PF23788.2
gene-LOC142983572,PF00089.33
gene-LOC142983576,PF00067.28
gene-LOC142983577,PF00089.33
gene-LOC142983581,PF09799.15
gene-LOC142983583,PF25762.2
gene-LOC142983584,PF21771.2
gene-LOC142983586,PF07898.19
gene-LOC142983587,PF07898.19
gene-LOC142983588,PF07898.19
gene-LOC142983589,PF07898.19
gene-LOC142983594,PF00089.33
gene-LOC142983595,PF08790.18;PF25879.1
gene-LOC142983596,PF04145.21
gene-LOC142983600,PF00232.25
gene-LOC142983601,PF00067.28
gene-LOC142983602,PF00578.28;PF08534.17;PF10417.15
gene-LOC142983603,PF00089.33
gene-LOC142983605,PF00272.25
gene-LOC142983606,PF00272.25
gene-LOC142983607,PF00272.25
gene-LOC142983608,PF00232.25
gene-LOC142983611,PF00046.36
gene-LOC142983612,PF00001.27;PF10320.16
gene-LOC142983613,PF00232.25
gene-LOC142983614,PF00089.33
gene-LOC142983615,PF01699.30
gene-LOC142983616,PF02985.29;PF12755.14;PF13513.13;PF13646.13;PF20168.5;PF22646.3;PF22956.3;PF23227.2;PF23271.2;PF24714.2;PF24987.2;PF25757.2;PF25786.1
gene-LOC142983618,PF02550.22;PF13336.13
gene-LOC142983620,PF13465.13
gene-LOC142983621,PF00083.31;PF07690.22
gene-LOC142983623,PF00046.36
gene-LOC142983624,PF00067.28
gene-LOC142983633,PF00046.36
gene-LOC142983634,PF00474.24
gene-LOC142983642,PF04925.21;PF21413.4
gene-LOC142983644,PF00188.33
gene-LOC142983645,PF00583.32;PF13508.14
gene-LOC142983647,PF00096.33;PF12171.15;PF13894.13
gene-LOC142983648,PF07898.19
gene-LOC142983650,PF16039.11
gene-LOC142983651,PF16026.11
gene-LOC142983654,PF07898.19
gene-LOC142983656,PF14661.12
gene-LOC142983657,PF00046.36
gene-LOC142983658,PF04935.18
gene-LOC142983659,PF00059.28
gene-LOC142983660,PF00059.28
gene-LOC142983662,PF00106.32;PF08659.17;PF13561.13
gene-LOC142983664,PF00067.28
gene-LOC142983668,PF11901.14
gene-LOC142983671,PF13862.12
gene-LOC142983673,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983677,PF00732.26;PF05199.20
gene-LOC142983680,PF00805.29;PF02214.29;PF11834.14;PF13576.13;PF13599.14
gene-LOC142983682,PF00096.33;PF05605.19;PF07776.22;PF12171.15;PF12230.14;PF13465.13;PF13894.13
gene-LOC142983688,PF00005.34;PF01061.30;PF12698.14;PF13304.13
gene-LOC142983689,PF10545.16
gene-LOC142983690,PF00089.33
gene-LOC142983691,PF00188.33
gene-LOC142983694,PF00232.25
gene-LOC142983695,PF00046.36
gene-LOC142983696,PF12756.14
gene-LOC142983697,PF00067.28
gene-LOC142983701,PF00089.33
gene-LOC142983702,PF01757.29;PF20146.5
gene-LOC142983703,PF00089.33
gene-LOC142983706,PF02320.23
gene-LOC142983708,PF00232.25
gene-LOC142983710,PF07898.19
gene-LOC142983711,PF00185.31
gene-LOC142983712,PF00046.36
gene-LOC142983714,PF03351.23;PF10517.15;PF25489.2
gene-LOC142983719,PF12018.14
gene-LOC142983720,PF17180.11;PF23490.1
gene-LOC142983721,PF07898.19
gene-LOC142983722,PF00059.28
gene-LOC142983723,PF00046.36
gene-LOC142983724,PF07898.19
gene-LOC142983725,PF07898.19
gene-LOC142983726,PF07898.19
gene-LOC142983727,PF07898.19
gene-LOC142983728,PF01433.27;PF11838.15
gene-LOC142983731,PF00089.33
gene-LOC142983734,PF00175.27;PF00258.31;PF00667.27
gene-LOC142983735,PF00324.28;PF13520.13
gene-LOC142983737,PF04427.24
gene-LOC142983740,PF00153.33
gene-LOC142983741,PF01395.28
gene-LOC142983751,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983753,PF06294.17;PF11971.14
gene-LOC142983756,PF04419.20
gene-LOC142983760,PF00160.27
gene-LOC142983761,PF07847.19
gene-LOC142983763,PF00083.31;PF07690.22
gene-LOC142983774,PF01607.30
gene-LOC142983778,PF11502.14
gene-LOC142983779,PF01607.30
gene-LOC142983781,PF00520.38;PF08016.19;PF08763.18;PF16885.12;PF16905.11
gene-LOC142983782,PF13896.13
gene-LOC142983785,PF00685.34;PF13469.13
gene-LOC142983786,PF00096.33;PF13465.13;PF13894.13;PF15909.11
gene-LOC142983788,PF25987.1
gene-LOC142983789,PF07859.20;PF20434.6
gene-LOC142983791,PF00083.31;PF07690.22
gene-LOC142983793,PF01044.26
gene-LOC142983794,PF03184.26;PF10263.16
gene-LOC142983795,PF27698.1
gene-LOC142983798,PF00041.28;PF00102.33
gene-LOC142983799,PF00083.31;PF07690.22
gene-LOC142983803,PF03167.26
gene-LOC142983805,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983807,PF01391.24;PF01410.24
gene-LOC142983808,PF00096.33;PF13465.13;PF13894.13
gene-LOC142983809,PF10545.16;PF13837.13;PF13873.13
gene-LOC142983810,PF10545.16;PF13837.13;PF13873.13
gene-LOC142983817,PF00349.28;PF03727.23
gene-LOC142983818,PF00569.24;PF05485.18
gene-LOC142983819,PF00011.28
gene-LOC142983820,PF00011.28
gene-LOC142983823,PF10545.16
gene-LOC142983824,PF20920.3
gene-LOC142983825,PF01769.22
gene-LOC142983828,PF00083.31;PF07690.22
gene-LOC142983831,PF08711.17
gene-LOC142983835,PF00008.34;PF07645.22;PF12662.14;PF12947.14;PF14670.13;PF22914.3
gene-LOC142983837,PF00400.39;PF01637.25;PF05729.19;PF13271.12;PF23381.2;PF23586.3;PF24814.2;PF24817.2;PF25172.2;PF25173.2;PF25174.2;PF25175.2;PF25469.2
gene-LOC142983838,PF00412.29
gene-LOC142983840,PF00083.31;PF07690.22
gene-LOC142983843,PF00106.32;PF08659.17;PF13561.13
gene-LOC142983844,PF00096.33;PF13465.13;PF13894.13;PF23447.2;PF23561.2
gene-LOC142983847,PF25809.1
gene-LOC142983848,PF00083.31;PF07690.22
gene-LOC142983849,PF00083.31;PF07690.22
gene-LOC142983850,PF00011.28
gene-LOC142983852,PF00628.36;PF02373.29;PF13621.13;PF17811.7
gene-LOC142983855,PF00059.28
gene-LOC142983856,PF00059.28
gene-LOC142983857,PF02931.29;PF02932.22
gene-LOC142983858,PF00083.31;PF07690.22
gene-LOC142983859,PF00096.33;PF13465.13;PF13894.13;PF16159.11;PF21816.4;PF23561.2
gene-LOC142983860,PF13279.13
gene-LOC142983861,PF00083.31;PF07690.22
gene-LOC142983864,PF00083.31;PF07690.22
gene-LOC142983865,PF00012.27;PF06723.20
gene-LOC142983868,PF03281.21;PF20266.4
gene-LOC142983869,PF02931.29;PF02932.22
gene-LOC142983870,PF00096.33;PF07776.22;PF13465.13;PF13894.13
gene-LOC142983873,PF00089.33
gene-LOC142983874,PF00083.31;PF07690.22
gene-LOC142983877,PF00083.31;PF07690.22
gene-LOC142983878,PF00083.31;PF07690.22
gene-LOC142983879,PF00249.38;PF10545.16;PF13837.13
gene-LOC142983882,PF00096.33;PF13465.13;PF13894.13;PF23561.2
gene-LOC142983883,PF00059.28;PF05966.18;PF08756.16
gene-LOC142983884,PF00069.32;PF07714.24
gene-LOC142983885,PF00011.28
gene-LOC142983886,PF00059.28
gene-LOC142983887,PF00047.32;PF07679.23;PF07686.24;PF13895.13;PF13927.13
gene-LOC142983888,PF02949.26
gene-LOC142983889,PF00089.33
gene-LOC142983892,PF02949.26
gene-LOC142983895,PF00046.36
gene-LOC142983896,PF03352.19
gene-LOC142983898,PF00089.33
gene-LOC142983900,PF00373.24;PF01608.24;PF02174.24;PF09141.17;PF09379.17;PF16511.12;PF21989.3
gene-LOC142983902,PF01044.26
gene-LOC142983905,PF01044.26
gene-LOC142983907,PF00096.33;PF13465.13;PF13894.13;PF13912.13
gene-LOC142983909,PF00520.38;PF07885.23
gene-LOC142983910,PF00023.37;PF00531.29;PF00791.27;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF17809.7;PF23745.2;PF24521.3
gene-LOC142983911,PF07645.22
gene-LOC142983915,PF02944.26;PF10545.16;PF13837.13
gene-LOC142983916,PF00011.28
gene-LOC142983918,PF00089.33
gene-LOC142983921,PF15243.12
gene-LOC142983923,PF00059.28
gene-LOC142983924,PF04006.18
gene-LOC142983925,PF03807.24;PF14748.12
gene-LOC142983927,PF00005.34;PF13304.13
gene-LOC142983930,PF00270.36;PF00271.38;PF04851.22;PF13959.12
gene-LOC142983931,PF00011.28
gene-LOC142983932,PF00106.32;PF08659.17;PF13561.13
gene-LOC142983933,PF00059.28;PF05966.18;PF08756.16
gene-LOC142983934,PF00059.28;PF05966.18
gene-LOC142983935,PF00083.31;PF07690.22
gene-LOC142983936,PF00023.37;PF00791.27;PF01442.24;PF07464.17;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF17809.7;PF23745.2;PF24521.3
gene-LOC142983937,PF00246.30;PF02244.22
gene-LOC142983939,PF00560.40;PF12799.14;PF13855.13;PF14580.13
gene-LOC142983941,PF00089.33
gene-LOC142983943,PF00059.28
gene-LOC142983944,PF00091.32;PF03953.23
gene-LOC142983945,PF00083.31;PF07690.22
gene-LOC142983946,PF00059.28
gene-LOC142983947,PF00089.33;PF13365.13
gene-LOC142983948,PF00059.28
gene-LOC142983949,PF00046.36
gene-LOC142983950,PF00083.31;PF07690.22
gene-LOC142983951,PF10545.16
gene-LOC142983952,PF10545.16
gene-LOC142983953,PF00011.28
gene-LOC142983955,PF13894.13
gene-LOC142983958,PF00646.39;PF12937.13
gene-LOC142983959,PF00646.39;PF12937.13
gene-LOC142983960,PF00106.32;PF08659.17;PF13561.13
gene-LOC142983961,PF00011.28
gene-LOC142983963,PF00059.28
gene-LOC142983965,PF05699.20
gene-LOC142983967,PF08416.20;PF18016.9;PF22975.3
gene-LOC142983968,PF00595.30;PF13180.13;PF17820.8
gene-LOC142983971,PF10545.16
gene-LOC142983973,PF00096.33;PF12171.15;PF12874.14;PF13465.13;PF13894.13
gene-LOC142983974,PF00059.28
gene-LOC142983977,PF01459.29
gene-LOC142983979,PF00059.28
gene-LOC142983980,PF01565.29
gene-LOC142983982,PF00083.31;PF07690.22
gene-LOC142983984,PF00083.31;PF07690.22
gene-LOC142983985,PF00089.33
gene-LOC142983986,PF00089.33
gene-LOC142983987,PF00089.33
gene-LOC142983988,PF00083.31;PF07690.22
gene-LOC142983989,PF00083.31;PF07690.22
gene-LOC142983990,PF00089.33
gene-LOC142983993,PF00089.33
gene-LOC142983994,PF02949.26
gene-LOC142983995,PF02949.26
gene-LOC142983997,PF04083.23
gene-LOC142984001,PF13516.13;PF13855.13;PF27087.1
gene-LOC142984003,PF00011.28
gene-LOC142984004,PF00011.28
gene-LOC142984005,PF02931.29
gene-LOC142984006,PF00112.30;PF08246.18
gene-LOC142984007,PF00094.31;PF01347.29;PF09172.17;PF13646.13
gene-LOC142984008,PF03803.22
gene-LOC142984009,PF03803.22
gene-LOC142984010,PF00083.31;PF07690.22
gene-LOC142984011,PF00083.31;PF07690.22
gene-LOC142984012,PF00083.31;PF07690.22
gene-LOC142984013,PF00083.31;PF07690.22
gene-LOC142984014,PF00560.40;PF13855.13
gene-LOC142984019,PF00782.26
gene-LOC142984021,PF00096.33;PF12171.15;PF12874.14;PF13465.13;PF13894.13;PF13912.13;PF23561.2
gene-LOC142984023,PF00089.33
gene-LOC142984024,PF00094.31;PF01347.29;PF09172.17
gene-LOC142984026,PF00324.28;PF03522.21
gene-LOC142984027,PF00083.31;PF07690.22
gene-LOC142984028,PF00083.31;PF07690.22
gene-LOC142984030,PF07645.22;PF12662.14;PF12947.14;PF14670.13;PF22914.3
gene-LOC142984031,PF00782.26;PF14671.12;PF22741.2;PF22784.2;PF22785.2
gene-LOC142984034,PF00520.38;PF08016.19;PF08763.18;PF16905.11
gene-LOC142984039,PF15501.12
gene-LOC142984049,PF04072.21
gene-LOC142984056,PF06585.18
gene-LOC142984057,PF20146.5
gene-LOC142984058,PF00096.33;PF13465.13;PF13894.13
gene-LOC142984060,PF00884.29;PF02995.23
gene-LOC142984062,PF00728.29;PF14845.12
gene-LOC142984063,PF01490.25
gene-LOC142984064,PF00379.30
gene-LOC142984065,PF00379.30
gene-LOC142984066,PF00379.30
gene-LOC142984067,PF00379.30
gene-LOC142984071,PF01490.25
gene-LOC142984073,PF01490.25
gene-LOC142984074,PF00246.30
gene-LOC142984075,PF00089.33
gene-LOC142984076,PF00732.26;PF05199.20;PF13738.13
gene-LOC142984077,PF05199.20
gene-LOC142984078,PF08711.17
gene-LOC142984080,PF16012.11
gene-LOC142984083,PF13405.13;PF13499.13
gene-LOC142984086,PF13911.13
gene-LOC142984090,PF02037.34;PF13671.13;PF13843.13
gene-LOC142984091,PF05903.21
gene-LOC142984095,PF15393.12
gene-LOC142984096,PF02064.22
gene-LOC142984098,PF08991.17
gene-LOC142984102,PF10441.15
gene-LOC142984103,PF00002.30
gene-LOC142984104,PF10545.16;PF13837.13;PF13873.13
gene-LOC142984108,PF00176.30;PF00270.36;PF00271.38;PF00439.31;PF04851.22;PF07529.19;PF07533.22;PF08880.17;PF11496.15;PF14619.12
gene-LOC142984111,PF00560.40;PF12799.14;PF13855.13;PF23598.2
gene-LOC142984112,PF00096.33;PF07776.22;PF12171.15;PF13465.13;PF13894.13;PF13912.13;PF23611.2;PF23612.1
gene-LOC142984113,PF00335.27
